Field Output reported for whole element for region: COMPOSITE-1.Region_2

   Element Label            EVOL
                          @Loc 1
---------------------------------
           45932     25.6361E-03
           45933     13.6625E-03
           45934     13.2448E-03
           45935     15.0776E-03
           45936     6.87672E-03
           45937     14.4445E-03
           45938     16.9016E-03
           45939     10.0776E-03
           45940     16.7382E-03
           45941     18.9540E-03
           45942     11.9801E-03
           45943     9.16924E-03
           45944     10.7409E-03
           45945     4.74258E-03
           45946     9.29400E-03
           45947     7.98725E-03
           45948     24.3773E-03
           45949     17.6412E-03
           45950     10.3034E-03
           45951     12.4337E-03
           45952     11.9271E-03
           45953     8.28397E-03
           45954     11.8598E-03
           45955     16.5186E-03
           45956     3.46734E-03
           45957     1.81364E-03
           45958     2.43678E-03
           45959     20.7480E-03
           45960     20.4274E-03
           45961     20.0468E-03
           45962     14.7248E-03
           45963     14.8525E-03
           45964     12.5519E-03
           45965     15.4439E-03
           45966     11.7172E-03
           45967     9.05848E-03
           45968     5.94469E-03
           45969     10.8182E-03
           45970     3.87707E-03
           45971     4.53755E-03
           45972     2.46798E-03
           45973     21.4153E-03
           45974     12.7218E-03
           45975     16.0183E-03
           45976     11.5343E-03
           45977     15.3402E-03
           45978     13.1285E-03
           45979     11.3398E-03
           45980     11.8102E-03
           45981     13.2377E-03
           45982     5.23331E-03
           45983     9.24942E-03
           45984     30.7836E-03
           45985     10.9687E-03
           45986     30.8342E-03
           45987     18.2167E-03
           45988     14.5189E-03
           45989     14.8861E-03
           45990     18.1843E-03
           45991     22.6013E-03
           45992     11.6473E-03
           45993     19.1066E-03
           45994     17.5178E-03
           45995     13.9485E-03
           45996     18.0028E-03
           45997     16.0605E-03
           45998     11.6867E-03
           45999     20.9259E-03
           46000     23.8362E-03
           46001     8.78538E-03
           46002     17.1072E-03
           46003     24.5589E-03
           46004     10.0383E-03
           46005     13.9560E-03
           46006     13.4708E-03
           46007     21.5385E-03
           46008     12.1446E-03
           46009     21.8032E-03
           46010     13.4925E-03
           46011     7.83645E-03
           46012     10.7291E-03
           46013     17.2455E-03
           46014     14.7064E-03
           46015     25.3529E-03
           46016     16.6453E-03
           46017     12.5129E-03
           46018     26.2871E-03
           46019     14.3388E-03
           46020     13.9986E-03
           46021     12.5484E-03
           46022     7.21400E-03
           46023     9.85864E-03
           46024     9.22318E-03
           46025     9.69761E-03
           46026     5.74662E-03
           46027     10.4690E-03
           46028     10.1916E-03
           46029     5.07939E-03
           46030     9.96291E-03
           46031     9.72222E-03
           46032     7.06970E-03
           46033     23.4837E-03
           46034     1.32641E-03
           46035     24.7053E-03
           46036     22.0830E-03
           46037     13.8439E-03
           46038     20.5818E-03
           46039     13.6587E-03
           46040     23.9623E-03
           46041     26.3833E-03
           46042     14.4699E-03
           46043     15.1363E-03
           46044     14.4246E-03
           46045     13.1132E-03
           46046     16.6291E-03
           46047     15.1086E-03
           46048     12.3004E-03
           46049     7.20034E-03
           46050     9.29913E-03
           46051     13.1410E-03
           46052     15.6520E-03
           46053     20.4711E-03
           46054     14.7531E-03
           46055     12.4576E-03
           46056     11.3542E-03
           46057     13.4408E-03
           46058     18.9056E-03
           46059     10.3626E-03
           46060     9.65719E-03
           46061     10.8085E-03
           46062     21.8714E-03
           46063     10.9791E-03
           46064     16.1960E-03
           46065     11.8041E-03
           46066     14.2948E-03
           46067     8.45431E-03
           46068     10.9572E-03
           46069     17.8206E-03
           46070     6.73192E-03
           46071     6.52235E-03
           46072     15.1279E-03
           46073     14.0631E-03
           46074     16.0174E-03
           46075     9.66044E-03
           46076     24.1681E-03
           46077     17.1377E-03
           46078     13.7893E-03
           46079     9.79636E-03
           46080     17.2239E-03
           46081     6.97817E-03
           46082     14.9511E-03
           46083     15.1439E-03
           46084     23.4036E-03
           46085     11.6485E-03
           46086     15.7028E-03
           46087     9.53460E-03
           46088     17.8487E-03
           46089     13.4870E-03
           46090     21.8013E-03
           46091     21.9247E-03
           46092     11.2826E-03
           46093     17.1218E-03
           46094     15.2466E-03
           46095     16.4922E-03
           46096     10.3812E-03
           46097     16.4922E-03
           46098     13.9390E-03
           46099     11.4995E-03
           46100     15.6775E-03
           46101     14.2070E-03
           46102     14.3246E-03
           46103     22.8200E-03
           46104     16.3208E-03
           46105     18.9161E-03
           46106     22.7301E-03
           46107     15.0840E-03
           46108     7.84257E-03
           46109     10.7509E-03
           46110     22.2272E-03
           46111     18.1160E-03
           46112     15.9863E-03
           46113     9.07000E-03
           46114     13.2795E-03
           46115     20.0461E-03
           46116     13.4153E-03
           46117     10.5146E-03
           46118     6.70477E-03
           46119     9.01910E-03
           46120     13.4539E-03
           46121     9.89876E-03
           46122     452.237E-06
           46123     20.4898E-03
           46124     11.2212E-03
           46125     9.24077E-03
           46126     8.94300E-03
           46127     6.33646E-03
           46128     7.97903E-03
           46129     10.8512E-03
           46130     17.4132E-03
           46131     19.1857E-03
           46132     22.3626E-03
           46133     17.7988E-03
           46134     841.154E-06
           46135     27.8785E-03
           46136     36.5447E-03
           46137     31.1524E-03
           46138     12.2866E-03
           46139     8.76236E-03
           46140     25.4888E-03
           46141     22.2071E-03
           46142     18.2866E-03
           46143     24.7186E-03
           46144     23.7958E-03
           46145     10.9980E-03
           46146     17.9109E-03
           46147     33.7886E-03
           46148     14.4693E-03
           46149     10.7751E-03
           46150     347.208E-06
           46151     17.5303E-03
           46152     11.1606E-03
           46153     15.8098E-03
           46154     11.3807E-03
           46155     18.7956E-03
           46156     5.12399E-03
           46157     1.95545E-03
           46158     4.14249E-03
           46159     22.7210E-03
           46160     11.7180E-03
           46161     12.8787E-03
           46162     16.6306E-03
